# Collection Module: IostatExaWatcher
# Collection Command: /usr/bin/iostat -xk 1 3
# Starting Time: 05/21/2026 13:55:19
# Sample Interval(s): 1
# Archive Count: 3

Linux 5.15.0-101.103.2.1.el8uek.x86_64 (exa01)  05/21/2026  _x86_64_  (64 CPU)

zzz <05/21/2026 13:55:19>
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.10    0.00    3.20   22.40    0.00   66.30

Device:            rrqm/s wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
dm-0                 0.00   0.00   12.00   30.00   768.00  4096.00   231.62     2.20   18.50   12.00   21.10   0.80  35.00
dm-1                 0.00   0.00  240.00  620.00 32768.00 92160.00   290.53    12.40   72.30   65.20   75.10   1.10  98.00

zzz <05/21/2026 13:55:20>
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           7.00    0.00    2.90   11.20    0.00   78.90

Device:            rrqm/s wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
dm-0                 0.00   0.00   10.00   24.00   640.00  2048.00   158.12     1.10   10.50    9.20   11.00   0.50  20.00
dm-1                 0.00   0.00  180.00  500.00 24576.00 73728.00   289.13     6.80   44.00   38.00   46.10   0.90  91.00

zzz <05/21/2026 13:55:21>
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.50    0.00    2.50    4.00    0.00   87.00

Device:            rrqm/s wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
dm-0                 0.00   0.00    8.00   18.00   512.00  1536.00   157.54     0.70    8.80    7.90    9.20   0.40  15.00
dm-1                 0.00   0.00   90.00  210.00 12288.00 24576.00   245.76     2.40   19.50   18.00   20.10   0.80  68.00
